# template|port|channel|stream|label
http://{{username}}:{{password}}@{{ip_address}}/snapshot.jpg|80|1|0|generic snapshot
http://{{username}}:{{password}}@{{ip_address}}/image.jpg|80|1|0|generic image
http://{{username}}:{{password}}@{{ip_address}}/jpg/image.jpg|80|1|0|grandstream image
http://{{username}}:{{password}}@{{ip_address}}/cgi-bin/snapshot.cgi|80|1|0|generic cgi snapshot
http://{{username}}:{{password}}@{{ip_address}}/cgi-bin/api.cgi?cmd=Snap&channel={{channel}}&rs={{stream}}|80|1|0|reolink api
http://{{username}}:{{password}}@{{ip_address}}/cgi-bin/snapshot.cgi?channel={{channel}}&subtype={{stream}}|80|1|0|dahua subtype snapshot
http://{{username}}:{{password}}@{{ip_address}}/Streaming/channels/{{channel}}01/picture|80|1|0|hikvision isapi snapshot
http://{{username}}:{{password}}@{{ip_address}}/axis-cgi/jpg/image.cgi|80|1|0|axis jpg image
http://{{username}}:{{password}}@{{ip_address}}/cgi-bin/viewer/video.jpg|80|1|0|vivotek viewer
http://{{username}}:{{password}}@{{ip_address}}/webcapture.jpg?command=snap&channel={{channel}}|80|1|0|swann webcapture
http://{{username}}:{{password}}@{{ip_address}}/image/jpeg.cgi|80|1|0|panasonic jpeg
http://{{username}}:{{password}}@{{ip_address}}/GetData.cgi?CH={{channel}}&Codec=mjpeg|80|1|0|wirepath mjpeg
https://{{username}}:{{password}}@{{ip_address}}/cgi-bin/snapshot.cgi|443|1|0|https snapshot
http://{{username}}:{{password}}@{{ip_address}}/video.jpg|80|1|0|amcrest snapshot
http://{{username}}:{{password}}@{{ip_address}}/onvif-http/snapshot?channel={{channel}}&stream={{stream}}|80|1|0|onvif snapshot
